Disability,Adult,Child
ADHD,0.8611111111111112,0.1388888888888889
Autism,0.9166666666666666,0.08333333333333333
Dyslexia,0.8888888888888888,0.1111111111111111
None,0.9722222222222222,0.027777777777777776
