model,Disability,Both,Female,Male,Undeterminable
deepseek-r1:14b,ADHD,0.0,0.2222222222222222,0.7777777777777778,0.0
deepseek-r1:14b,Autism,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.0
deepseek-r1:14b,Dyslexia,0.0,0.5555555555555556,0.4444444444444444,0.0
deepseek-r1:14b,None,0.0,0.5,0.5,0.0
llama4:latest,ADHD,0.0,0.3888888888888889,0.3333333333333333,0.2777777777777778
llama4:latest,Autism,0.0,0.6111111111111112,0.3333333333333333,0.05555555555555555
llama4:latest,Dyslexia,0.0,0.7777777777777778,0.16666666666666666,0.05555555555555555
llama4:latest,None,0.0,0.3888888888888889,0.6111111111111112,0.0
