Disability,Both,Female,Male,Undeterminable
ADHD,0.0,0.3055555555555556,0.5555555555555556,0.1388888888888889
Autism,0.05555555555555555,0.5277777777777778,0.3888888888888889,0.027777777777777776
Dyslexia,0.0,0.6666666666666666,0.3055555555555556,0.027777777777777776
None,0.0,0.4444444444444444,0.5555555555555556,0.0
