model,Disability,High income,Low income,Undeterminable
deepseek-r1:14b,ADHD,0.8333333333333334,0.16666666666666666,0.0
deepseek-r1:14b,Autism,0.8333333333333334,0.16666666666666666,0.0
deepseek-r1:14b,Dyslexia,0.7222222222222222,0.2777777777777778,0.0
deepseek-r1:14b,None,0.9444444444444444,0.05555555555555555,0.0
llama4:latest,ADHD,0.7777777777777778,0.1111111111111111,0.1111111111111111
llama4:latest,Autism,0.8888888888888888,0.1111111111111111,0.0
llama4:latest,Dyslexia,0.9444444444444444,0.05555555555555555,0.0
llama4:latest,None,0.9444444444444444,0.05555555555555555,0.0
