Disability,Rural,Undeterminable,Urban
ADHD,0.0,0.05555555555555555,0.9444444444444444
Autism,0.0,0.0,1.0
Dyslexia,0.027777777777777776,0.0,0.9722222222222222
None,0.0,0.0,1.0
